,entry_date,entry_spread,direction,exit_date,exit_spread,pnl,holding_days
0,2022-11-04,111.0,short,,,,
1,,,short,2022-11-14,109.0,320.3603603603551,10.0
2,2022-11-17,109.0,short,,,,
3,,,short,2022-11-28,113.0,-453.5845937680715,11.0
4,2022-12-01,113.0,short,,,,
5,,,short,2022-12-12,113.0,-493.5845937680715,11.0
6,2022-12-15,112.0,short,,,,
7,,,short,2022-12-27,117.0,-1426.441736625231,12.0
8,2022-12-30,116.0,short,,,,
9,,,short,2023-01-09,117.0,-1638.8555297286803,10.0
10,2023-01-12,117.0,short,,,,
11,,,short,2023-01-23,111.0,-653.2145040876494,11.0
12,2023-01-26,111.0,short,,,,
13,,,short,2023-02-06,106.0,207.68639681325294,11.0
